UNITID,INSTNM
151351,Indiana University-Bloomington
171100,Michigan State University
147767,Northwestern University
204796,Ohio State University-Main Campus
214777,Pennsylvania State University-Main Campus
243780,Purdue University-Main Campus
186380,Rutgers University-New Brunswick
110662,University of California-Los Angeles
145637,University of Illinois Urbana-Champaign
153658,University of Iowa
163286,University of Maryland-College Park
170976,University of Michigan-Ann Arbor
174066,University of Minnesota-Twin Cities
181464,University of Nebraska-Lincoln
209551,University of Oregon
123961,University of Southern California
236948,University of Washington-Seattle Campus
240444,University of Wisconsin-Madison
